,precision,recall,f1-score,support
abnormaal,0.9473684210526315,0.5567010309278351,0.7012987012987012,97.0
geen prime,0.8307692307692308,0.9818181818181818,0.9,110.0
licht prime,0.8541666666666666,0.7454545454545455,0.7961165048543689,110.0
prime,0.7426470588235294,0.9181818181818182,0.8211382113821138,110.0
voorkiem,0.8898305084745762,0.9545454545454546,0.9210526315789475,110.0
accuracy,0.8379888268156425,0.8379888268156425,0.8379888268156425,0.8379888268156425
macro avg,0.8529563771573269,0.8313402061855669,0.8279212098228264,537.0
weighted avg,0.8506707969512954,0.8379888268156425,0.8309865591911942,537.0
