,precision,recall,f1-score,support
abnormaal,0.9333333333333333,0.5773195876288659,0.7133757961783439,97.0
geen prime,0.8294573643410853,0.9727272727272728,0.895397489539749,110.0
licht prime,0.84375,0.7363636363636363,0.7864077669902914,110.0
prime,0.7318840579710145,0.9181818181818182,0.8145161290322581,110.0
voorkiem,0.9122807017543859,0.9454545454545454,0.9285714285714285,110.0
accuracy,0.8361266294227188,0.8361266294227188,0.8361266294227188,0.8361266294227188
macro avg,0.8501410914799639,0.8300093720712278,0.8276537220624143,537.0
weighted avg,0.8481271265933833,0.8361266294227188,0.8304202267858647,537.0
